,pagerank
[ROAD]206353065,7.068374303385763e-05
[ROAD]206353091,3.858822197766246e-05
"[BUS]19.911508,50.082728",6.386672433808626e-05
[ROAD]206353309,4.5933400244394955e-05
[ROAD]287630900,6.0767958243432183e-05
[ROAD]206353403,5.062177297885589e-05
"[BUS]19.916792,50.087163",6.370170407472171e-05
"[BUS]19.917228,50.087601",0.00012178209953124783
[ROAD]206353845,1.752802365968459e-05
"[BUS]20.038221,50.072448",3.97064052877156e-05
"[BUS]20.036834,50.072734",1.1864557593505907e-05
[ROAD]206368892,6.293932179770514e-05
[ROAD]206369173,3.8249258552074105e-05
[ROAD]558655097,8.07454845875878e-05
[ROAD]206369217,4.3594735574359544e-05
[ROAD]558655088,0.00011894093614321188
"[BUS]20.038257,50.074926",0.00011705407607128025
[ROAD]206369248,8.279126208537422e-05
"[BUS]20.035201,50.075315",6.30115242003052e-05
"[BUS]20.032464,50.075683",0.00014324076341709952
[ROAD]206369387,5.541115923120646e-05
"[BUS]20.049892,50.069113",0.00032732666384118647
"[BUS]20.02876,50.072408",0.0001750982145295297
[ROAD]206371428,4.573367056664403e-05
"[BUS]20.016381,50.073325",5.330724440019701e-05
"[BUS]20.01268,50.074061",0.000204735065397611
"[BUS]20.006574,50.074285",7.628166556389273e-05
[ROAD]206371809,6.22746546889999e-05
"[BUS]19.985861,50.073373",0.0001377721810410481
"[BUS]20.013083,50.073781",5.61745468189707e-05
"[BUS]19.960835,50.065935",0.00011948193567503198
"[BUS]19.958649,50.065566",0.00018637366418129288
[ROAD]206371912,5.632197989617427e-05
"[BUS]19.933715,50.064085",9.703402889563685e-05
"[BUS]19.938115,50.066232",9.014729493505113e-05
"[BUS]19.960245,50.061961",9.619913495209233e-05
[ROAD]206373016,0.00014614510583831102
[ROAD]206373023,0.00011242137546601334
"[BUS]19.959517,50.054576",0.00017791276988810963
"[BUS]19.972771,50.045321",9.939798366801534e-05
[ROAD]206375460,0.00013265323667805844
[ROAD]206375463,6.36017415224751e-05
[ROAD]206376599,8.282532483325764e-05
[ROAD]206376681,7.240898471118946e-05
"[BUS]19.961879,50.050957",0.000238202487122668
[ROAD]206377118,9.166200072165447e-05
[ROAD]11826246293,9.372619531152253e-05
[ROAD]322065410,8.712325145096785e-05
"[BUS]19.944739,50.072157",0.00011575794951457982
[ROAD]207425159,1.906052200751133e-05
"[BUS]19.943889,50.070453",0.00013647802869390022
"[BUS]19.943453,50.068841",0.00010859608906879868
[ROAD]207428888,2.7367231038034594e-05
[ROAD]207433776,0.0001083085854926733
[ROAD]257659360,0.00020806684746242928
[ROAD]207435063,0.00011450062126539033
[ROAD]207435069,0.0002092464195694241
"[BUS]19.929498,50.071365",0.00011595584971137275
[ROAD]261677476,0.0002025961102037212
"[BUS]19.926495,50.069508",9.84944680882361e-05
"[BUS]19.925312,50.066986",9.031012928642013e-05
"[BUS]19.924486,50.065176",0.00017862113802956893
"[BUS]19.925644,50.058153",0.00021401383031160637
"[BUS]19.927504,50.05518",0.00020596234959328132
"[BUS]19.911634,50.046774",0.00017020271826158218
"[BUS]19.921325,50.045406",0.00022969003355976193
[ROAD]207452710,4.646001019577744e-05
"[BUS]19.924614,50.046471",0.00018885538590328787
[ROAD]207460520,0.00020229642004666415
[ROAD]207466618,0.00013247156997319332
[ROAD]207469742,0.00012178571632082513
"[BUS]20.004218,50.067301",0.00018059472501640088
[ROAD]207476158,9.965431278338915e-05
[ROAD]207476161,0.00011342882918771572
[ROAD]207476176,0.00012515635582843615
[ROAD]207476192,6.568002750601082e-05
[ROAD]207476221,0.00015142343198533808
[ROAD]1704926060,0.0001359846078157569
[ROAD]207511820,6.908554318478024e-05
"[BUS]19.959686,50.067974",5.307892063309482e-05
[ROAD]207511832,0.00016458646843825074
[ROAD]321460548,4.808814344930373e-05
[ROAD]207511979,6.134177739016545e-05
[ROAD]1850270022,7.445037957086943e-05
[ROAD]207513540,6.097098938870762e-05
[ROAD]207513543,6.014733936896408e-05
"[BUS]19.96503,50.072704",0.0001608252657114238
[ROAD]207513552,4.8625124141695516e-05
"[BUS]19.960114,50.073696",9.209753084223484e-05
[ROAD]207515015,3.6301125576601055e-05
[ROAD]207515017,5.92029035121378e-05
[ROAD]207515019,2.4909946584414986e-05
[ROAD]207515022,7.497345795645118e-05
[ROAD]207516230,7.12837946715185e-05
[ROAD]207516235,4.9992772520352414e-05
[ROAD]207516239,4.380706342699103e-05
[ROAD]276256656,7.441954934835497e-05
[ROAD]207518103,3.38716225666703e-05
[ROAD]207518606,3.190801268330368e-05
[ROAD]207519162,4.017728967573426e-05
"[BUS]19.961656,50.069426",7.239671462217135e-05
[ROAD]207519415,1.583644037174418e-05
[ROAD]207519416,4.0621969354843664e-05
[ROAD]207519417,3.54526052649796e-05
[ROAD]207520245,4.105829828023115e-05
[ROAD]321780571,0.00017296123794654998
"[BUS]19.974097,50.08111",0.00017971494274386643
"[BUS]19.979021,50.081328",6.43990800870184e-05
"[BUS]19.981224,50.080041",0.0001099069763617684
"[BUS]19.983032,50.078444",9.608159370098698e-05
"[BUS]19.983437,50.078009",9.433541300288727e-05
"[BUS]19.985645,50.073858",8.390432507138186e-05
"[BUS]19.981037,50.072578",0.00014092266075368772
"[BUS]19.982654,50.071688",0.0001704176478641766
[ROAD]213566130,7.144718425166976e-05
[ROAD]213566137,9.339812321871537e-05
[ROAD]213566140,3.492789237240553e-05
[ROAD]213566163,5.5104683898967954e-05
[ROAD]213566217,0.00013365234234623144
"[BUS]20.027556,50.093261",0.00016871209082683594
[ROAD]213566251,0.00011254886629604946
[ROAD]213566254,7.707622261905274e-05
"[BUS]20.065166,50.087784",0.00017170196508320073
[ROAD]213585924,0.0001324931568834772
[ROAD]213608239,6.292654744759394e-05
[ROAD]213614893,0.00015622042692624427
"[BUS]20.001254,50.087765",0.00023569948183711504
"[BUS]20.003528,50.089639",6.24012510355176e-05
"[BUS]20.005976,50.091579",8.180669123406805e-05
[ROAD]213614912,8.094019512822524e-05
[ROAD]213618237,1.8204958514269282e-05
"[BUS]20.00519,50.074164",5.472204872787853e-05
[ROAD]213628855,0.00010254859876984596
"[BUS]20.013608,50.075771",0.0001238821240207026
[ROAD]213623209,5.2857766678773363e-05
[ROAD]213625100,2.8341229990790944e-05
[ROAD]213625104,3.3541812037130134e-05
[ROAD]213626243,5.8251106134848884e-05
"[BUS]20.015099,50.078724",4.383087488223727e-05
"[BUS]20.015566,50.079676",1.400781400744481e-05
"[BUS]20.015587,50.081331",9.25702304145666e-05
"[BUS]20.017688,50.083436",5.920619752620284e-05
"[BUS]20.014546,50.077703",0.00012178541133544453
[ROAD]213642255,4.044519519702707e-05
"[BUS]19.875815,50.006308",0.00016767612180908247
"[BUS]19.873667,50.007736",0.00015555405496947837
"[BUS]19.868821,50.002959",0.0001844437894247917
[ROAD]226009431,3.982761583195883e-05
[ROAD]226009897,7.778426903704636e-05
"[BUS]19.93546,50.065656",0.00015146363776046996
[ROAD]226010060,3.880217196429297e-05
[ROAD]226010068,5.421544207397504e-05
[ROAD]226010076,7.922367660609318e-05
[ROAD]226834588,0.0001229674175886981
"[BUS]19.945116,50.070291",0.0001463089892602675
"[BUS]19.94882,50.07094",8.237451285917583e-05
"[BUS]19.949516,50.068871",7.063340356520353e-05
"[BUS]19.950554,50.06835",0.00016217370090200714
[ROAD]269325540,0.00014485384936503904
[ROAD]226034635,2.9533070108969496e-05
[ROAD]1081160843,5.06555724872562e-05
[ROAD]226056138,4.082746620024232e-05
"[BUS]19.936532,50.029196",0.00026981762768489825
[ROAD]226138988,6.426140895463291e-05
[ROAD]226139031,6.57161715345218e-05
[ROAD]274390182,8.981506805974585e-05
[ROAD]226214987,0.0002557681707360798
"[BUS]19.903849,50.056329",0.00010452675329633305
"[BUS]19.903533,50.056366",6.483897468048765e-05
[ROAD]247096831,9.999619205965634e-05
[ROAD]226524326,0.00021452186679150255
[ROAD]226528565,8.30571227622172e-05
[ROAD]226529269,0.00017137647414410922
"[BUS]19.934406,50.082909",0.00013367514525544416
"[BUS]19.929511,50.075858",0.00010692655963770193
[ROAD]226826871,3.174857472673012e-05
"[BUS]19.915551,50.072967",0.00021612510076608277
"[BUS]19.91647,50.07428",0.00016333757380118747
"[BUS]19.918473,50.079548",0.00012197922145627093
[ROAD]226830015,5.595918173437814e-05
[ROAD]226830352,3.8945572518798985e-05
"[BUS]19.931836,50.0754",0.00011607306646200358
[ROAD]226834098,0.0001501136161540817
[ROAD]226834987,2.7471045382096208e-05
"[BUS]19.914471,50.071146",0.00015069459166599614
[ROAD]1405864429,3.487319622437535e-05
"[BUS]19.95144,50.094274",9.845861569595909e-05
[ROAD]262053897,0.00010332916332118584
"[BUS]19.938769,50.088887",0.00010649925359592811
"[BUS]19.932163,50.089715",0.0002495765131644582
"[BUS]19.928692,50.089406",0.00010056831931106236
"[BUS]19.924262,50.088409",8.634855399954771e-05
[ROAD]227460286,0.00010559713582794623
[ROAD]227461264,9.964837236658629e-05
[ROAD]227461842,9.769279654643383e-05
[ROAD]227461942,8.078699241335941e-05
[ROAD]232660150,4.188785405811159e-05
[ROAD]232660157,4.8183251432444766e-05
[ROAD]232660185,3.3014763869108916e-05
[ROAD]232660279,3.375218864184242e-05
[ROAD]232663766,6.179959754243903e-05
[ROAD]232672481,5.802270627148681e-05
[ROAD]232682711,8.456117181571142e-05
[ROAD]232683222,6.795170719556296e-05
[ROAD]232696757,0.00012704376720478665
"[BUS]19.944384,50.091649",9.27944249357852e-05
[ROAD]232697017,0.0001463839978085971
[ROAD]12471834528,0.00013872993508376143
"[BUS]19.88161,50.091671",8.349379306417716e-05
"[BUS]19.882468,50.09495",0.00013883597369156005
[ROAD]232716009,0.00010352744779637301
"[BUS]19.883404,50.102125",0.00011260467871737612
[ROAD]232716716,7.76060249715837e-05
"[BUS]19.879392,50.107132",0.00021482713052619004
"[BUS]19.880911,50.091048",0.00018453894988391462
"[BUS]19.877643,50.108294",0.0001269895853726591
"[BUS]19.878334,50.108319",0.00011141717907283139
"[BUS]19.949066,50.095774",9.642043192152742e-05
"[BUS]19.947645,50.098088",9.611808466662152e-05
"[BUS]19.94737,50.099462",0.0001451511737796752
[ROAD]235837190,3.425762859046386e-05
[ROAD]235837442,8.077572583255173e-05
[ROAD]235837510,7.195792957562753e-05
[ROAD]235837950,7.356515777552411e-05
"[BUS]19.946651,50.1014",8.36245582973228e-05
"[BUS]19.971644,50.084939",0.00021914241689605546
"[BUS]19.890881,50.082431",8.899185057541577e-05
[ROAD]236136675,0.00011768575876152518
[ROAD]236137518,4.7453552850465e-05
"[BUS]19.938817,50.049792",8.660564880990923e-05
"[BUS]19.941273,50.050315",6.208345804405674e-05
[ROAD]236138978,6.16680585930526e-05
[ROAD]236139461,9.422431768361704e-05
"[BUS]19.924099,50.063921",0.0001216771830307219
"[BUS]19.923709,50.062397",0.00010096176799511523
"[BUS]19.914483,50.067644",0.00015382622707912563
"[BUS]19.917266,50.067603",0.0001306708810795756
[ROAD]3883357609,0.00011315059834132821
"[BUS]19.908605,50.069376",9.561225823860718e-05
"[BUS]19.905437,50.069858",0.00015453708474248923
[ROAD]236168905,2.066887221910058e-05
[ROAD]236169018,6.567834067341983e-05
[ROAD]236169076,3.0035284320172826e-05
[ROAD]236169094,7.92905166338139e-05
[ROAD]236169525,5.5338228654956187e-05
[ROAD]236169655,2.4059519271037683e-05
[ROAD]773235704,0.000129657650837114
[ROAD]236171600,6.305186462791869e-05
"[BUS]19.934504,50.091627",0.00018591248562132832
"[BUS]19.908872,50.089432",7.743782415449982e-05
"[BUS]19.941279,50.091128",0.00015351694675154728
"[BUS]19.963394,50.084989",0.0001587807734307975
"[BUS]19.926503,50.091339",0.0002049289400126645
[ROAD]535284291,0.0002203742086683664
"[BUS]19.976424,50.085398",8.34516710852072e-05
[ROAD]236180325,7.619986229701506e-05
"[BUS]19.976798,50.085422",8.17187669313628e-05
"[BUS]19.908207,50.089434",7.479100510390426e-05
"[BUS]19.998956,50.087658",0.00012493725336771278
"[BUS]19.907811,50.089281",0.00013488089975200598
"[BUS]19.913771,50.089345",0.000110681119445571
[ROAD]236184999,9.832562652298392e-05
"[BUS]19.935786,50.091702",0.00012828479825607736
[ROAD]1768224824,0.0001511151354832945
[ROAD]236298647,0.00014812378583469187
"[BUS]19.913637,50.067971",0.00014549875043341548
"[BUS]19.938391,50.050764",0.00024012189791936607
"[BUS]19.926702,50.069145",9.066006710423116e-05
[ROAD]240971032,4.8335255097608e-05
[ROAD]240971033,5.1203032986027996e-05
[ROAD]240977613,8.908369787240918e-05
[ROAD]262210529,7.682209357818489e-05
"[BUS]19.906339,50.075689",0.0001529708478852175
[ROAD]240985579,6.782742112953763e-05
"[BUS]19.943141,50.108612",0.00012096900267256242
"[BUS]19.992613,50.104421",0.0001564656511170339
[ROAD]243358036,0.00016742731403629512
"[BUS]20.012728,50.095014",0.00013901734574066276
[ROAD]282877146,0.00011681697167460182
[ROAD]9874468555,4.512168033620052e-05
[ROAD]587632541,7.29088852813263e-05
[ROAD]243362263,9.054466639226219e-05
[ROAD]243362589,3.2524557352808046e-05
[ROAD]243365296,6.615637037810615e-05
"[BUS]19.978754,50.089697",0.00010260808503721759
"[BUS]19.975963,50.089348",0.00012321846470038163
[ROAD]243378349,0.00020601175892289938
[ROAD]277711654,0.00011166006730250036
"[BUS]19.960438,50.091962",0.00013278308965410958
[ROAD]243644963,7.24585450322955e-05
[ROAD]277717915,9.106613071945676e-05
"[BUS]19.983074,50.090172",0.0001589016087831745
[ROAD]243645056,6.581255890679448e-05
"[BUS]19.979873,50.085771",0.00020916623896224596
[ROAD]243778558,8.400159875762335e-05
"[BUS]19.947813,50.087778",0.00021130639295527398
"[BUS]20.013184,50.098171",0.00010511490145511938
[ROAD]10702726103,9.324073833526106e-05
[ROAD]243781986,0.0001024729941009954
[ROAD]7641157446,0.00014534321731714652
[ROAD]243783954,8.726770432351955e-05
[ROAD]243784004,9.364600417332928e-05
[ROAD]243784020,9.114100804818622e-05
[ROAD]243784122,0.00013592475538152572
[ROAD]244397086,0.0001329476346179575
[ROAD]244397094,6.0343265292207054e-05
[ROAD]244397946,0.00015291647806804553
"[BUS]19.825904,50.021207",6.162725787470732e-05
[ROAD]244398363,0.0001600037720819353
"[BUS]19.82872,50.022391",2.8934165697520887e-05
"[BUS]19.832886,50.024616",0.00012252917015815115
"[BUS]19.847262,50.027509",0.0001520557504856722
"[BUS]19.851946,50.028778",0.00018103186651769612
[ROAD]244398843,0.00010354894075113199
"[BUS]19.886642,50.035562",0.00011550764492132627
"[BUS]19.888212,50.036317",0.00011865501879070428
[ROAD]244398913,0.00011859168951807767
[ROAD]244398919,8.475794026519883e-05
"[BUS]19.905699,50.044971",0.00013187454494259735
"[BUS]19.922058,50.050446",0.00013240191350890094
"[BUS]19.926598,50.051889",9.940680438393407e-05
[ROAD]244398996,2.825118171566925e-05
"[BUS]19.852255,50.026323",9.516155980595331e-05
"[BUS]19.809048,50.015682",0.00017459399169155373
[ROAD]244399322,0.00015055569499650213
[ROAD]5179796775,0.00011605610161299933
[ROAD]244399331,7.841210240517009e-05
[ROAD]244399347,7.60207650411401e-05
"[BUS]19.816764,50.001406",0.0001257192370278972
"[BUS]19.814478,50.008375",0.00019956160946563173
"[BUS]19.812303,50.009868",0.0002294515617954793
"[BUS]19.911317,50.024413",0.00013656182441261011
[ROAD]245363385,7.158135454413039e-05
[ROAD]245363387,2.9546966825310076e-05
[ROAD]245366177,5.2197536352354195e-05
"[BUS]19.920477,50.031561",0.00014698143285121014
[ROAD]245374349,0.00013605320500749302
"[BUS]19.913101,50.027256",0.00012895109108108563
"[BUS]19.909581,50.022137",0.00015219600478950433
"[BUS]19.898831,50.011688",0.0001987935052752429
[ROAD]245369265,6.0764316953365487e-05
[ROAD]2953371169,0.00010005918316309572
[ROAD]245373676,3.048202327376359e-05
[ROAD]245373680,4.393552883621902e-05
[ROAD]245373837,3.310473380285013e-05
"[BUS]19.922749,50.043224",0.00019754177038520859
"[BUS]19.924094,50.040967",0.00021276219066432818
[ROAD]245373861,6.370477994695533e-05
[ROAD]1839568819,0.0001371492004363368
[ROAD]245375188,4.793848858704101e-05
[ROAD]245375477,0.0001169333724458799
[ROAD]245376148,5.071944023550647e-05
[ROAD]245421384,6.210940272962355e-05
"[BUS]19.930324,50.048322",0.00014596973257894916
[ROAD]245421628,7.123043909184355e-05
[ROAD]245421629,2.55383368618226e-05
[ROAD]245421630,4.8561367107200905e-05
[ROAD]245421632,3.084665948782583e-05
"[BUS]19.931388,50.046161",0.00012505029354507725
"[BUS]19.932828,50.045347",9.037304731684286e-05
[ROAD]245422238,4.404440090714434e-05
[ROAD]245422433,4.0096679746434376e-05
"[BUS]19.925562,50.038381",0.00015798269577510317
[ROAD]4948357586,0.00010217676090065129
[ROAD]245423745,0.00010631974660991102
[ROAD]1781427610,0.00017476415073397456
[ROAD]245423860,7.575371093780681e-05
[ROAD]245424148,5.310971767573722e-05
[ROAD]245424213,0.00010878124923490339
[ROAD]245424450,8.213693750345323e-05
[ROAD]245424453,7.84156681934662e-05
[ROAD]245424454,0.00012321090603360332
[ROAD]245424554,7.226996324490958e-05
[ROAD]245424556,7.675798653513718e-05
[ROAD]2019014574,9.487542336405845e-05
[ROAD]245424752,7.244402855700131e-05
[ROAD]245424975,7.971533181941678e-05
[ROAD]2974292842,0.0002813069935768716
[ROAD]245425131,6.842959358968064e-05
[ROAD]245425132,5.983358612674255e-05
[ROAD]245425133,5.5621573384722726e-05
[ROAD]245425134,6.623051335813067e-05
[ROAD]245425135,6.880013944514958e-05
[ROAD]245425255,5.672128677176593e-05
[ROAD]245425256,0.00014419174409577081
[ROAD]245425459,3.143298876109294e-05
[ROAD]1865655320,4.173468681139806e-05
[ROAD]245425739,3.5093639634062646e-05
[ROAD]245425749,7.830936147004208e-05
[ROAD]245425832,8.740545106636512e-05
[ROAD]245425862,2.8574711071748928e-05
[ROAD]245426033,3.101915799674066e-05
[ROAD]245426342,7.568236122445356e-05
"[BUS]19.925978,50.022292",7.648428256373155e-05
[ROAD]245426531,5.360338035835898e-05
[ROAD]245481981,3.140955292544056e-05
[ROAD]245482839,0.00020052272347348686
"[BUS]19.927423,50.051875",4.971835432177401e-05
"[BUS]19.926956,50.05143",7.01188252331982e-05
[ROAD]245485645,8.086490724799208e-05
"[BUS]19.925104,50.047266",7.194582517183681e-05
[ROAD]278234323,8.906568417714399e-05
[ROAD]245485668,2.960031157225768e-05
[ROAD]289259016,8.478344663293953e-05
[ROAD]245486185,8.911664050204422e-05
[ROAD]245486302,2.9157277505203657e-05
[ROAD]245486369,2.5596722382213526e-05
[ROAD]245486446,4.7228950679697815e-05
"[BUS]19.913549,50.047402",0.0001104042824218425
[ROAD]245487330,9.037971233657404e-05
[ROAD]247093116,4.5766439191288686e-05
[ROAD]247093267,6.980833264498246e-05
"[BUS]19.839924,50.011743",0.00014715509077184062
"[BUS]19.842993,50.006843",8.46265639101688e-05
[ROAD]247094367,8.825480137238621e-05
[ROAD]247095807,5.675261259587447e-05
"[BUS]19.849481,49.992286",0.00016923601068525432
"[BUS]19.857349,49.997962",6.232691714394743e-05
[ROAD]247097410,2.36383430386762e-05
[ROAD]247097469,6.062276653309324e-05
[ROAD]247097555,6.399934147867348e-05
[ROAD]247097652,7.799801060305463e-05
[ROAD]251680825,0.0001431232013448614
[ROAD]251681030,5.4334069218532766e-05
[ROAD]251681036,5.596116477244208e-05
[ROAD]251688755,2.720362689794402e-05
"[BUS]19.932009,50.062519",0.00012360098402775904
