,eigen
[ROAD]206350267,6.989024466711721e-17
[ROAD]206350271,3.2771639942821834e-15
[ROAD]206350273,1.4317400368356526e-17
[ROAD]206350279,1.0520547029441969e-17
[ROAD]206350343,7.354866547946732e-22
[ROAD]206350462,3.264397160674497e-15
[ROAD]206350619,1.6401956285313596e-14
[ROAD]206350629,9.581229733685605e-22
[ROAD]206350833,1.412316206644213e-15
[ROAD]206350843,8.832136907851777e-13
"[BUS]19.915686,50.08168",3.1675676308461334e-19
[ROAD]206351242,4.718066219335192e-18
[ROAD]206351244,8.087685593611093e-17
[ROAD]206351247,2.5496225974967796e-14
"[BUS]19.918853,50.080283",1.528995617447988e-18
"[BUS]19.915739,50.082391",1.5925834425452206e-19
[ROAD]206351484,9.577684758400885e-21
"[BUS]19.921441,50.082987",4.886333981010466e-21
"[BUS]19.922972,50.083477",3.1939437989848283e-21
[ROAD]206351490,6.63979670998254e-20
[ROAD]206351791,1.9527499383856604e-19
[ROAD]206351792,1.2167133667841198e-19
[ROAD]206351797,1.732341748625114e-22
[ROAD]206351798,3.056323101154046e-22
[ROAD]206351809,1.2389166723750379e-14
[ROAD]206351930,6.4054261261570754e-21
[ROAD]7703159032,2.1608306123614866e-22
"[BUS]19.909574,50.083126",3.84311935316125e-18
"[BUS]19.908421,50.084387",1.3060202559558298e-16
"[BUS]19.909292,50.087141",3.4805023760087973e-15
[ROAD]206352274,5.2261275461312775e-20
[ROAD]206352275,2.1147452723250578e-18
[ROAD]206352276,8.574755236024445e-17
[ROAD]206352278,2.2581112210967206e-18
[ROAD]206352280,4.684331272881306e-19
[ROAD]206352532,2.1225471345958762e-18
[ROAD]206352850,8.605532932674834e-17
"[BUS]19.912068,50.088421",5.873167950038307e-16
"[BUS]19.916476,50.085526",4.908716127245842e-19
[ROAD]206352952,2.0130867574298363e-20
[ROAD]206352955,1.1543607301964138e-18
[ROAD]206352956,2.9342496267496245e-20
[ROAD]206352957,1.1771101253049907e-21
[ROAD]206352958,1.6946936405466492e-20
"[BUS]19.914841,50.087844",4.4600638644416597e-17
[ROAD]206353025,2.6066011376850602e-23
[ROAD]206353065,3.129580534893977e-23
[ROAD]206353091,8.323096795909182e-25
"[BUS]19.911508,50.082728",2.1342095093009498e-19
[ROAD]206353309,7.476434170022192e-22
[ROAD]287630900,3.7482071006482065e-21
[ROAD]206353403,1.9822128044959942e-20
"[BUS]19.916792,50.087163",2.7359580923816082e-18
"[BUS]19.917228,50.087601",8.414899562056235e-18
[ROAD]206353845,1.3664758736215482e-16
"[BUS]20.038221,50.072448",7.186056246361757e-15
"[BUS]20.036834,50.072734",6.098615442165645e-17
[ROAD]206368892,4.835071768577881e-14
[ROAD]206369173,6.694909600245086e-13
[ROAD]558655097,3.9428938234628896e-11
[ROAD]206369217,1.995075515870585e-09
[ROAD]558655088,1.51261501520699e-14
"[BUS]20.038257,50.074926",7.780846300423853e-16
[ROAD]206369248,1.5933093894530072e-15
"[BUS]20.035201,50.075315",2.708495311862314e-14
"[BUS]20.032464,50.075683",4.103954577903402e-13
[ROAD]206369387,1.3787426639539826e-13
"[BUS]20.049892,50.069113",3.7376519282288485e-07
"[BUS]20.02876,50.072408",3.3642296566747603e-16
[ROAD]206371428,1.474081323959585e-18
"[BUS]20.016381,50.073325",8.189423587352359e-21
"[BUS]20.01268,50.074061",2.149076119510778e-20
"[BUS]20.006574,50.074285",3.132867471671425e-23
[ROAD]206371809,9.199749179549437e-21
"[BUS]19.985861,50.073373",5.16527343933115e-21
"[BUS]20.013083,50.073781",3.171564710990998e-20
"[BUS]19.960835,50.065935",9.081342442325365e-14
"[BUS]19.958649,50.065566",6.583307637619713e-15
[ROAD]206371912,1.3162162733180868e-14
"[BUS]19.933715,50.064085",1.2834116303898046e-16
"[BUS]19.938115,50.066232",3.630270852141978e-17
"[BUS]19.960245,50.061961",1.6661035798575737e-17
[ROAD]206373016,2.9919699045960083e-16
[ROAD]206373023,5.3672441351008976e-17
"[BUS]19.959517,50.054576",2.838315777218311e-16
"[BUS]19.972771,50.045321",2.0191239390808342e-13
[ROAD]206375460,7.579223240177347e-22
[ROAD]206375463,3.3944018164840243e-23
[ROAD]206376599,1.8643721892668453e-22
[ROAD]206376681,2.130862593892469e-19
"[BUS]19.961879,50.050957",3.1264724972047404e-15
[ROAD]206377118,1.5661808995953054e-16
[ROAD]11826246293,3.920711260045161e-18
[ROAD]322065410,3.683446033612649e-12
"[BUS]19.944739,50.072157",1.1437467940274895e-10
[ROAD]207425159,6.360127108063258e-14
