,eigen
[ROAD]1684035080,6.1825842972862056e-18
[ROAD]1684035158,9.858276365493022e-20
[ROAD]1684168577,3.812736583005003e-18
[ROAD]1684168593,5.59924779931441e-20
[ROAD]1684272627,3.031911964370525e-20
[ROAD]1685742583,6.617080694751974e-14
"[BUS]19.910165,50.011582",2.0273642116758832e-17
[ROAD]1685743291,9.601728552590875e-22
[ROAD]1685743293,3.1983594871948843e-19
[ROAD]1685743295,7.966759663723628e-20
[ROAD]1685743307,3.854674330559482e-21
"[BUS]19.908781,50.010922",5.263539043644546e-16
[ROAD]1685743311,6.324880302805117e-18
[ROAD]1686583205,4.07604167512431e-25
[ROAD]1686583215,1.5387575917546088e-20
[ROAD]1686583259,1.6189012886282861e-22
[ROAD]1687861975,3.1269396378228256e-05
[ROAD]1687862043,3.7507159418980727e-07
[ROAD]1689178978,4.934733237944664e-16
[ROAD]1689179402,7.04496507177623e-17
[ROAD]1689179409,5.099505717032587e-15
[ROAD]1690038595,8.920218173681814e-22
[ROAD]1690274651,2.223448621014734e-22
[ROAD]1690274667,2.2300545434204535e-22
[ROAD]1690274706,6.113975329367053e-20
[ROAD]1692072610,2.4287170632382183e-16
[ROAD]1691358197,2.085965024491614e-26
[ROAD]1691358199,5.03006842583026e-28
[ROAD]1691833294,1.987375322448642e-23
[ROAD]1691833317,7.896964809826084e-22
"[BUS]20.0384,50.025494",3.399372648700799e-11
[ROAD]1692201710,1.5201798496906179e-12
[ROAD]1696191668,2.810763802901579e-20
"[BUS]20.010224,50.094084",4.612234021955369e-21
[ROAD]1697711901,1.2236207140149934e-18
[ROAD]1700948609,4.1979880644563457e-19
"[BUS]19.919721,49.981548",4.3066611635242685e-08
[ROAD]1706723734,7.561550506690077e-26
[ROAD]1708863775,5.000289525325058e-09
[ROAD]1708863777,1.4938113446889036e-11
"[BUS]19.979289,50.085705",5.108616726053917e-15
[ROAD]1710281170,6.046222649691838e-15
[ROAD]1710281661,2.627900243387404e-20
[ROAD]1710281870,5.314602134183253e-26
[ROAD]1710282572,2.9822492813443027e-19
"[BUS]19.901122,50.109255",6.985019557227719e-25
[ROAD]1710283411,4.14530111315177e-25
[ROAD]1710283443,5.289062501380427e-19
[ROAD]2805521749,1.237561945095728e-18
[ROAD]1714421832,4.2479413288527424e-21
[ROAD]1714421972,7.487320175525066e-27
[ROAD]11054639488,1.8218992779038516e-24
[ROAD]1714422832,3.9635540396489344e-25
"[BUS]19.995686,50.035681",3.42730626487493e-20
[ROAD]1714984931,1.798398407453094e-13
[ROAD]1715923834,1.0557810869915984e-20
[ROAD]1963428329,1.1327656864283694e-21
[ROAD]1717735941,2.4720760042501487e-09
[ROAD]1717946714,1.24964622133616e-22
[ROAD]1719538966,7.835357350283835e-18
[ROAD]1719538977,5.828901179396239e-16
[ROAD]1719538979,4.2398526129916627e-14
[ROAD]1719539656,1.1177329232670729e-18
[ROAD]1721042124,3.329139023567234e-24
[ROAD]1721151054,2.5247490345320597e-19
[ROAD]1721650121,2.948919878039554e-22
[ROAD]1721774305,2.382190981004822e-15
[ROAD]1721860053,2.9199488135020516e-20
[ROAD]1721860054,8.251200716289726e-22
[ROAD]1721860057,9.51908273108426e-22
[ROAD]1721860059,1.4160077090065235e-23
[ROAD]1721860061,3.145782196812314e-23
[ROAD]1721880930,1.4615050825129763e-20
[ROAD]1721880931,4.1337796965298474e-22
[ROAD]1721938174,2.7286406729917326e-25
"[BUS]19.917063,50.001104",1.7315768956492442e-07
[ROAD]1722125317,1.5770316721308314e-15
[ROAD]1723726053,2.958200306331021e-11
[ROAD]1723727581,6.419939730760154e-19
[ROAD]1723805184,2.5285426183084683e-25
[ROAD]1723816149,1.812254873131128e-23
"[BUS]20.012333,50.006203",1.2937809909820962e-10
[ROAD]2417148723,1.9785671554135204e-14
[ROAD]1724074038,1.4696563079548815e-16
[ROAD]1724074056,1.9800496948875843e-18
"[BUS]20.023311,50.077306",2.408970255420325e-14
[ROAD]1727875565,1.2633534163895864e-23
[ROAD]1728772415,2.964565003686693e-18
[ROAD]1728783785,5.877646913547317e-15
[ROAD]1728787905,4.797266123295151e-19
[ROAD]1728787907,2.856000376373727e-17
[ROAD]1728794967,3.9251091928971714e-18
[ROAD]1728794993,7.264231996424919e-20
[ROAD]1728822168,2.2023963100833422e-14
"[BUS]19.977369,50.019991",1.4376795436781845e-12
[ROAD]1728822219,2.908774986086923e-18
[ROAD]1728848002,1.2472127544661588e-11
[ROAD]1729233893,1.4241142680445922e-17
[ROAD]1730668524,1.1228070741166485e-15
[ROAD]1736090788,4.8783065459134655e-11
[ROAD]1736091070,1.8435526202925068e-13
[ROAD]1736426205,1.1856056501756004e-16
[ROAD]1736426863,2.2260332978372282e-19
[ROAD]1736426880,1.859692063761937e-17
[ROAD]1736426901,5.285829823736877e-21
[ROAD]1736426955,5.576677652682284e-21
[ROAD]1736426967,4.400602011545668e-19
[ROAD]1736427915,1.53123492786378e-15
[ROAD]1736428436,4.642519331358654e-19
[ROAD]1737371551,1.23112471535993e-25
[ROAD]1737371558,1.0734134806104326e-23
[ROAD]1737771185,3.743066512590999e-24
[ROAD]1737771237,2.832439523674504e-22
[ROAD]1737771241,3.256271189434232e-23
[ROAD]1737771243,2.633129941652676e-25
[ROAD]1737771260,4.639228890186447e-19
[ROAD]1737771300,3.747766453510973e-21
[ROAD]1737771305,4.639228911493772e-19
[ROAD]2076940863,5.757451581595772e-17
[ROAD]1737771315,3.0294865630506387e-23
[ROAD]1737771388,1.0157036066221236e-21
[ROAD]1737910285,5.649180611409649e-18
[ROAD]1737992199,4.740661854959243e-16
[ROAD]1737992232,5.697221206363268e-18
[ROAD]1738087486,5.027164236082785e-19
[ROAD]1738088158,1.2554667273446544e-18
[ROAD]1738089106,1.0443005747154262e-16
[ROAD]1738089124,4.183532871742958e-17
[ROAD]1738597632,7.246279786815116e-22
[ROAD]1738597871,5.643735931851251e-19
"[BUS]20.032483,50.090808",3.967140005002708e-17
"[BUS]19.916698,50.031448",6.815869362125178e-15
"[BUS]19.897614,50.006721",3.457716548813335e-19
[ROAD]1739240749,1.4594241019482514e-23
"[BUS]19.901681,50.014452",2.068853307322899e-24
[ROAD]1739241420,1.218252759102335e-32
[ROAD]1739241780,3.366275947246768e-26
[ROAD]1739254171,2.3122862542576805e-18
[ROAD]1740176462,5.959115715753959e-23
[ROAD]11455376827,3.763230340091377e-21
[ROAD]1741450810,5.017773894816201e-20
[ROAD]1742216584,2.605787435669931e-18
[ROAD]1744160524,1.47244453400876e-10
[ROAD]1745865249,1.2308824949424616e-13
[ROAD]1747182936,1.2849733132543097e-18
[ROAD]1835294658,9.392435928896545e-26
[ROAD]1747228807,1.897733679961481e-20
[ROAD]1747228797,1.8698742491604477e-18
[ROAD]1747228804,2.488526046422437e-21
[ROAD]1747235653,5.960918755046894e-25
[ROAD]1747235690,1.6830946282889138e-23
[ROAD]1747235694,2.8382634760501816e-21
[ROAD]1747235708,5.643555414561863e-21
[ROAD]1748607723,6.1936177990501096e-21
[ROAD]1749149772,1.9175774091478655e-18
"[BUS]19.87893,50.064995",1.6699437963505007e-28
[ROAD]1749722318,1.5977262108385547e-19
[ROAD]1750004660,3.9158552470370334e-28
[ROAD]1750033492,1.6469598507881423e-21
[ROAD]1750121731,1.4587205662845196e-30
[ROAD]1750124778,9.516878909643435e-29
[ROAD]1750324925,9.923615453837978e-29
[ROAD]1750324928,7.130276913447635e-27
"[BUS]20.073607,50.105036",3.2858540936232282e-21
[ROAD]1750861367,1.473746341576032e-25
[ROAD]11176888146,5.623051542184915e-31
[ROAD]1750867639,1.6243835503085682e-34
[ROAD]1751125473,2.667251171056578e-19
[ROAD]1751128151,1.6913979782539586e-12
[ROAD]1751131001,1.4910670685475398e-15
[ROAD]1751131174,1.2511266314763843e-13
[ROAD]1751232210,4.736262653726504e-25
[ROAD]4295706487,1.6668077132049951e-21
[ROAD]1752234239,2.2624868630197713e-27
[ROAD]1752234255,1.4730916888905897e-25
[ROAD]1752589854,1.4844874931760754e-30
[ROAD]1752589859,9.514335218359406e-29
[ROAD]1752589865,1.4577085321167466e-30
[ROAD]1752589874,2.6242868829824665e-32
"[BUS]19.849006,50.067694",7.208670658269187e-25
[ROAD]1752636517,1.3314148105956589e-30
[ROAD]1752648404,1.9524817296839545e-23
[ROAD]1752648407,1.6239478847757606e-21
[ROAD]1752937273,7.79583275040032e-29
[ROAD]1753672262,2.862692857570903e-35
[ROAD]1753672278,2.7320342273560875e-36
[ROAD]1753672426,2.7320342273560875e-36
[ROAD]1753700988,1.6679637826920467e-16
[ROAD]1754090803,8.901722416885209e-17
[ROAD]1754156325,1.3833687804482624e-19
[ROAD]1754236419,7.526811825955017e-23
[ROAD]1754237080,7.526811825955017e-23
[ROAD]1754271386,1.716441128796879e-29
[ROAD]1754271406,1.4279731800043914e-27
[ROAD]1754271428,1.716441128796879e-29
"[BUS]19.846205,50.022159",9.843225889094784e-24
[ROAD]1754271542,1.1971728535626885e-25
[ROAD]1754271818,7.900826168828873e-22
[ROAD]1754272195,8.249750648552373e-22
[ROAD]1754272647,6.576125377908964e-20
"[BUS]19.848014,50.023844",6.717165181378115e-20
[ROAD]1754272772,9.843149856102047e-24
[ROAD]1754272814,1.1827165071977498e-25
[ROAD]1754272962,1.1827165071977498e-25
[ROAD]1754273254,5.444058667116974e-18
[ROAD]1754273463,5.562932265454782e-18
[ROAD]1754274518,2.8671388491988905e-19
[ROAD]1754913489,3.978844172070406e-30
[ROAD]1755172743,2.4071326675798634e-22
[ROAD]1755257714,4.654255051522872e-19
[ROAD]1755257730,1.0131763492086375e-16
[ROAD]1755264035,1.5959291067670103e-19
[ROAD]1755264037,8.81537852782548e-18
[ROAD]1762770682,9.554930182410685e-11
[ROAD]1770435416,5.071218581616278e-23
"[BUS]19.923123,50.031006",8.74608712258057e-16
[ROAD]1772724832,2.1529952842780362e-15
"[BUS]19.915557,50.0284",2.1308758330840927e-16
[ROAD]1780711410,6.1826102647647665e-18
[ROAD]1780711439,3.8155447524513645e-16
[ROAD]1780711472,1.5008150464367685e-12
"[BUS]19.929274,50.052866",6.0418386577843064e-05
[ROAD]1781427711,8.154778760931592e-18
[ROAD]1781461482,2.2640216247879317e-18
[ROAD]1781461483,1.4220763795282357e-16
[ROAD]1781946318,3.0384794061515533e-16
"[BUS]19.859573,50.081129",1.1378109347787657e-17
[ROAD]1781659930,3.9969480758725966e-22
[ROAD]2261464491,1.0023618868505847e-19
"[BUS]19.858848,50.081272",1.89570896996969e-18
"[BUS]19.858309,50.08138",4.1591893553169583e-19
[ROAD]1782039646,1.0207469035456544e-20
[ROAD]1782039666,2.1419009441075718e-20
"[BUS]19.85643,50.081751",8.729559074739226e-19
"[BUS]19.925611,50.03685",4.346281166574341e-12
[ROAD]1782936530,3.4687168296272998e-15
[ROAD]1786358199,2.2089227982001164e-14
"[BUS]19.943087,50.113386",2.404270121116882e-25
[ROAD]1795995211,5.046496629952544e-16
[ROAD]1795995261,3.4234119729210393e-16
[ROAD]1801964472,6.507608935699291e-27
[ROAD]1802443774,1.5841930760858635e-16
[ROAD]1802633179,4.8476841991069e-19
"[BUS]19.925545,50.034701",7.1295989341506e-12
[ROAD]1803095908,1.5283113572112246e-13
[ROAD]2129394128,7.544434833864052e-20
"[BUS]19.90461,50.026492",5.897624359416962e-19
[ROAD]1812959150,1.7261347804680106e-21
[ROAD]1816110124,5.457176917402004e-16
[ROAD]1821323567,0.00879627389529148
[ROAD]1821601455,1.3339140766299313e-22
[ROAD]1821601541,3.2222217155865615e-20
[ROAD]1830518614,4.971253915697741e-11
[ROAD]1830518642,2.3818312527115072e-17
[ROAD]1830518651,3.925678677901967e-19
[ROAD]1831119255,3.2292042227636745e-08
"[BUS]19.97764,50.078061",7.643940242085828e-18
[ROAD]1835294686,1.1444898299329593e-21
[ROAD]1835294690,7.070186860697532e-24
[ROAD]1835294692,7.02805562696703e-24
[ROAD]1835294704,4.3810950807682414e-26
[ROAD]1835294719,4.3544680309323885e-26
[ROAD]1835294721,1.2933148410858964e-26
[ROAD]1835294723,4.380662859161819e-26
[ROAD]1835294784,5.448324842415062e-28
[ROAD]1835294820,2.6907733703884936e-28
[ROAD]1835294829,4.381712259816605e-26
[ROAD]1835294889,1.6703842707096542e-30
[ROAD]1835294909,1.0435280207470492e-32
[ROAD]1835294911,1.000895089782163e-21
"[BUS]19.975841,50.081381",2.069762113595534e-18
"[BUS]19.977762,50.081606",1.6349466028529292e-19
[ROAD]1835295004,9.548798815037163e-20
[ROAD]1835295021,1.5615479506366196e-23
[ROAD]1835295028,5.093788675156682e-17
[ROAD]1835295030,2.518216408345743e-21
[ROAD]1835295034,3.126668389114971e-19
[ROAD]1835295039,1.2006430566790623e-23
[ROAD]1835295041,1.9388537712540894e-21
[ROAD]1837599229,1.0476903296716059e-15
[ROAD]1837805967,5.284458967787335e-07
[ROAD]1839615603,3.403810436361907e-20
"[BUS]20.015057,50.096172",4.731824249662441e-19
[ROAD]1839623988,1.6887464429881823e-20
[ROAD]1839627987,7.356914558752513e-22
[ROAD]1839628011,7.361509210348135e-22
[ROAD]1839628021,2.2744875597760736e-20
[ROAD]1839628046,2.378601652957211e-23
"[BUS]20.025136,50.098463",1.4097509498984532e-21
[ROAD]1840698876,1.2229116679333168e-20
[ROAD]1840698915,2.7751479010413503e-23
[ROAD]1840698924,6.356716247889025e-24
[ROAD]1840698934,1.1100591604165401e-22
[ROAD]1840710403,2.3899155458143327e-19
[ROAD]1840710410,7.637639640681935e-21
[ROAD]1840710422,3.9433430782019885e-22
[ROAD]1840711359,1.2710010758064769e-23
[ROAD]1840711922,1.492642389116196e-22
[ROAD]1841214397,7.676708166718861e-21
[ROAD]1841314412,1.2788365469105e-24
[ROAD]1841348100,4.1835551253220185e-20
[ROAD]1841348138,1.37653057447901e-22
[ROAD]1841348254,2.927320058889913e-25
[ROAD]1841387143,3.24149995952932e-23
[ROAD]1841387145,8.589904982333495e-25
[ROAD]1841416220,5.5379985246064944e-24
[ROAD]1841416235,1.8853293831798092e-25
[ROAD]1841428083,5.474484594558367e-24
[ROAD]1841901540,2.4603422515576957e-22
[ROAD]1841901544,7.632837867496216e-21
[ROAD]1841901584,2.3923743353799186e-19
[ROAD]1841901672,1.677486743306468e-22
[ROAD]1841980286,1.5794408767139239e-18
[ROAD]1841980299,5.0284307323504556e-20
[ROAD]1841980327,1.6605185499238057e-21
[ROAD]1841980330,5.322559013165562e-23
[ROAD]1841980331,2.405329074625089e-22
[ROAD]1841980335,6.442706698137493e-24
[ROAD]1841980370,6.55735463607161e-30
[ROAD]1841980380,8.437807879539587e-27
[ROAD]1841980376,2.328006208972028e-28
[ROAD]1841980384,6.758340024923655e-30
[ROAD]1963428154,4.9999649784858325e-24
[ROAD]1841980415,1.2772943481094383e-25
[ROAD]1841980445,8.883786457253166e-29
[ROAD]1841980450,3.38744613317888e-27
[ROAD]1842016969,1.7562506703760288e-25
"[BUS]20.019775,50.075133",1.6473385550930865e-16
"[BUS]20.073699,50.088707",2.457947523010914e-13
[ROAD]1842906128,8.531307472667243e-22
[ROAD]1842929306,3.4528618340892403e-20
[ROAD]1842929352,2.6719840312401774e-21
[ROAD]1842929356,1.9098391393393842e-19
[ROAD]1842929363,3.687605397467566e-23
[ROAD]1842929385,1.0906103913763444e-28
[ROAD]1842929386,7.2728198367535284e-28
[ROAD]1842929391,3.889792094587375e-24
[ROAD]1842929392,9.80412436561066e-30
[ROAD]1842929396,2.591182429147114e-22
"[BUS]20.080593,50.109184",5.119491502232243e-25
[ROAD]1842932804,3.255495207718296e-20
[ROAD]1843163411,2.7001871955619782e-21
[ROAD]1843163419,1.9098381339946356e-19
[ROAD]1843169682,4.779413093541933e-22
[ROAD]1843329924,1.848337499861594e-27
[ROAD]1844045297,2.668542594563835e-34
[ROAD]11090539924,2.5952855716996534e-34
"[BUS]20.000153,49.988523",1.8358283560645075e-31
[ROAD]1852108347,2.4580351139686168e-33
[ROAD]1857903472,9.920006838289326e-26
"[BUS]19.92189,50.071223",2.2485658562785088e-13
[ROAD]1863946948,3.385061130474029e-22
[ROAD]1863946949,2.0289955003910098e-20
"[BUS]19.951141,49.971959",1.6949641988425587e-25
"[BUS]19.960639,49.973459",9.231006565178914e-31
"[BUS]19.958426,49.972978",3.574400687702451e-29
[ROAD]1865655280,1.8280729658570455e-24
[ROAD]1865655327,6.025240590985286e-24
[ROAD]1865655411,1.4085797624871883e-22
[ROAD]1865655422,1.0657847870253194e-25
[ROAD]1865655466,9.767081298140073e-14
[ROAD]1865655468,4.787478201802291e-28
"[BUS]19.919692,50.071849",4.897010005534834e-15
[ROAD]1870457790,3.224889679897788e-21
[ROAD]1873942829,8.796302149574964e-24
[ROAD]1873942848,6.420380307031173e-22
[ROAD]1873942880,6.420380307031173e-22
[ROAD]1873942931,4.656680487009806e-20
[ROAD]1873942963,3.397418422340506e-18
"[BUS]20.12099,50.09695",9.239721179464902e-24
[ROAD]1873943132,3.675707380874072e-23
[ROAD]1873943140,1.3261424306350054e-23
[ROAD]1873943167,1.5782419944619963e-20
[ROAD]1873943189,4.861619580909792e-20
[ROAD]1873943273,2.1239823059471017e-21
[ROAD]1874136625,2.123984820792665e-20
"[BUS]20.128686,50.097108",1.617780676532513e-18
"[BUS]20.123804,50.096997",5.563965409335217e-22
[ROAD]1874136769,7.440947830424523e-24
[ROAD]1874136847,2.1243849526148258e-20
[ROAD]1874136892,2.3565739605888578e-25
[ROAD]1874136978,3.045698974907084e-22
[ROAD]1874137028,4.001318221605313e-24
[ROAD]1874137032,4.1601481268551398e-22
"[BUS]20.124198,50.101533",5.654287218695326e-22
[ROAD]1874295157,3.4966591745774348e-28
"[BUS]20.113149,50.109315",3.44892286171316e-27
"[BUS]20.164909,50.08438",1.0116795538349374e-15
[ROAD]1875504859,2.321403428745026e-16
"[BUS]20.175649,50.089328",1.079196974305557e-17
[ROAD]1875504926,2.001690612199174e-16
[ROAD]1875504950,2.0834994590801786e-19
"[BUS]20.173995,50.092143",1.3632544674131934e-21
[ROAD]1875505108,2.9890021936326945e-18
[ROAD]1875505229,9.080824834395966e-24
[ROAD]1875505283,6.917165918413767e-22
"[BUS]20.17133,50.105007",3.64171534681783e-23
"[BUS]20.172461,50.106629",1.1787337497684537e-24
"[BUS]20.175591,50.109709",4.444875682498624e-26
[ROAD]1876008980,4.6717744025994696e-20
"[BUS]20.178446,50.098504",8.994299083079537e-22
[ROAD]1876008984,8.901143037370183e-22
[ROAD]1876008985,1.965131306909397e-23
"[BUS]20.178174,50.111957",1.843643748726365e-27
[ROAD]1876009295,2.114490119080105e-30
[ROAD]1876009322,7.029510883239192e-32
"[BUS]20.189812,50.113664",2.47325144086628e-33
[ROAD]1876009391,8.275898261810965e-35
[ROAD]1876009457,7.020821190064291e-32
[ROAD]1876116299,7.220640624283737e-16
[ROAD]1876116321,8.17077608516058e-15
[ROAD]1876116322,1.0112710207156721e-12
[ROAD]1876116397,2.6991767635486644e-14
"[BUS]20.159428,50.070936",4.211363248608463e-14
[ROAD]1876117414,1.2958433366654714e-18
[ROAD]1876117422,3.2571177902360795e-21
[ROAD]1876633357,4.3977315620673184e-16
[ROAD]1877317298,2.188167759208573e-16
[ROAD]1877317306,1.0452747852405494e-18
[ROAD]1877317359,3.338086447183452e-17
[ROAD]1877317400,7.336294346320934e-15
[ROAD]1877317420,1.2353202487050818e-18
[ROAD]1877317443,1.2967017570822072e-16
[ROAD]1877317500,2.8113855610982582e-18
[ROAD]1877317519,7.207056648717687e-20
[ROAD]1877317533,7.207056648717687e-20
[ROAD]1877317547,2.560106141945658e-14
"[BUS]19.952009,50.029941",3.964831534046229e-07
[ROAD]1882455013,2.1508125951340126e-14
[ROAD]1885040558,1.5880826930154184e-10
[ROAD]1885040595,7.914582429458106e-11
[ROAD]1885040648,1.0691621865448123e-12
"[BUS]20.000889,50.014772",5.9033563010428475e-09
[ROAD]1888873605,2.493020966360183e-11
[ROAD]1888873619,1.8809096776950286e-11
[ROAD]1888873634,4.3182101900382954e-13
[ROAD]11537575566,1.319638489881113e-09
"[BUS]19.963477,50.039902",2.0093369935879437e-13
[ROAD]1895983593,2.795950558967131e-17
[ROAD]1896073890,2.794169991540646e-17
[ROAD]1896073926,6.758645527711008e-24
[ROAD]1896073955,4.968296543479974e-19
[ROAD]1896113473,1.1846559618928587e-26
[ROAD]1896113474,7.808811675753759e-28
[ROAD]1896438534,9.261167974570846e-25
[ROAD]1896438577,2.0051776149496663e-15
[ROAD]1901239004,5.971662075511224e-22
[ROAD]1901239261,6.671992370143886e-20
[ROAD]11104785508,4.2307771010130607e-20
[ROAD]1901239745,6.98567599228346e-22
[ROAD]1901239858,5.2627132605691425e-21
[ROAD]1901239932,3.749176557947513e-19
[ROAD]1901239939,3.062863803829245e-20
[ROAD]1901239975,1.5873317299229674e-18
"[BUS]20.181636,50.057038",2.7952300832272064e-17
[ROAD]1902323075,4.2487459194789114e-21
"[BUS]19.919711,49.98471",2.9402245994714134e-07
"[BUS]19.920594,49.982709",1.876552781355929e-06
[ROAD]1905916528,1.2060670882799898e-08
[ROAD]1905916570,6.871120040430705e-05
[ROAD]1905916594,1.0070275545700109e-06
[ROAD]1911620571,2.1830274987565525e-19
[ROAD]1911620572,8.98678480874146e-18
[ROAD]1913346007,4.706081775727617e-16
[ROAD]1913346063,2.2908255892901264e-15
[ROAD]1913410081,7.083061957010119e-14
[ROAD]1913410082,1.698914250215588e-15
[ROAD]1913410083,1.2259636481499832e-14
[ROAD]1913478634,7.640522918010768e-18
"[BUS]19.93503,50.081898",4.7652738012706163e-17
[ROAD]1915399226,5.779957068881817e-19
[ROAD]1915399235,6.517308160447393e-18
[ROAD]1915399232,3.554992866034347e-21
[ROAD]1915399244,4.034364822997462e-20
[ROAD]1915399247,2.1735954338702603e-17
[ROAD]1916525721,1.250595336864063e-21
[ROAD]1917420263,3.289898135784179e-21
[ROAD]1917420265,1.8753678155204828e-19
[ROAD]1917420269,1.1805257073149917e-17
[ROAD]1919370794,5.174052259664566e-17
[ROAD]1919688540,2.751540514351608e-19
"[BUS]19.959104,50.071431",1.1630495416213934e-17
[ROAD]1923798112,4.4346441090015797e-08
[ROAD]1923798124,7.617836767328443e-10
[ROAD]1934189736,4.3253846886109415e-17
[ROAD]1937276538,2.4328118650712403e-18
[ROAD]1940361271,6.575966605405523e-23
[ROAD]1946898073,3.7012574052259604e-28
[ROAD]1948024978,3.876851824257474e-17
[ROAD]1948164846,4.677446533190593e-23
[ROAD]1948264775,1.2667155143842853e-25
[ROAD]1951086801,4.826409406410772e-22
"[BUS]20.056985,50.096704",1.619524054169369e-19
[ROAD]1955798246,1.784041647783338e-20
[ROAD]1961647356,4.4673143658729376e-26
[ROAD]1962536797,3.1568483395282417e-22
[ROAD]4111886171,7.940170122926223e-24
[ROAD]1962536802,1.9471075888438678e-25
[ROAD]1963269980,2.325981101297801e-10
[ROAD]1963427278,2.6905195392934746e-05
"[BUS]19.911332,49.994921",8.104596966946555e-11
[ROAD]1963427303,9.67698975464985e-13
[ROAD]1963427312,0.002252531535679008
[ROAD]1963427334,4.482647402594988e-06
"[BUS]19.910806,49.999942",2.4761595699945804e-11
[ROAD]1963427499,1.743169527261011e-18
[ROAD]1963427506,5.023480372376996e-18
[ROAD]1963427507,1.5312919740127709e-15
"[BUS]19.905715,50.005837",1.2068602929835892e-14
[ROAD]1963427556,7.381715131540704e-21
[ROAD]1963427572,8.84793512960306e-23
[ROAD]1963427671,5.509409072979482e-28
[ROAD]1963427679,2.881476848065974e-24
[ROAD]1963427717,4.597814390420353e-23
[ROAD]1963427718,1.2452654998583856e-27
[ROAD]1963427752,1.4080275920554024e-32
[ROAD]1963427759,6.225221295749534e-28
[ROAD]1963427777,9.696873944586043e-30
[ROAD]1963428170,1.2740818075072319e-25
[ROAD]1963428178,9.70991271746274e-25
[ROAD]1963428183,2.5507172397661386e-26
[ROAD]1963428217,2.878259287432897e-23
[ROAD]1963428293,1.0480611150172486e-21
[ROAD]1963428332,2.944314660200259e-23
[ROAD]1963428334,2.3252185010494578e-24
[ROAD]1963428350,4.183625090231482e-20
[ROAD]1966461675,1.1845967083962409e-14
[ROAD]1967677701,2.7696262820768186e-20
[ROAD]1967677706,7.367212064515432e-29
[ROAD]1967677710,1.0393684546310412e-30
[ROAD]1967677825,2.1902450105158e-21
[ROAD]1967678092,6.529545622956412e-11
[ROAD]1967678575,5.368908297637709e-21
[ROAD]1967678581,7.661361879089912e-23
[ROAD]1967678650,7.060975334941351e-18
"[BUS]19.870464,50.020228",5.903153990651387e-16
[ROAD]1967678689,2.0629879566199623e-19
[ROAD]1967678705,5.223398375759985e-18
[ROAD]1967678727,2.5937853131195745e-17
[ROAD]1967678732,3.111482622770501e-19
"[BUS]19.867728,50.02147",1.0122942843869922e-17
[ROAD]1970562053,1.793916399766855e-14
[ROAD]1973283829,4.482647402594988e-06
[ROAD]1976110306,2.2028402107301175e-32
[ROAD]10219705978,3.4511938269542117e-22
[ROAD]1976673455,2.5623587441224955e-22
[ROAD]1980065116,6.3417020759046385e-21
[ROAD]1980065397,4.559824322825174e-23
[ROAD]1980065440,3.368082457933368e-25
[ROAD]7227837058,1.324378236722046e-27
[ROAD]1980065526,3.4407432388361783e-25
[ROAD]1980065757,9.469802598585526e-17
[ROAD]1980066015,3.979479253487001e-15
[ROAD]1980066025,2.690609204290006e-13
"[BUS]19.962965,50.04041",2.099626360384974e-11
"[BUS]19.888331,50.018258",8.620920958253636e-18
[ROAD]2000517872,9.769641586245754e-11
[ROAD]2000517993,2.339959748301552e-18
[ROAD]2000518030,6.5765197581638564e-12
[ROAD]2000518486,8.475877325816959e-26
"[BUS]19.892388,50.060686",1.3291572089039665e-24
[ROAD]2000518497,1.0812803650617781e-25
[ROAD]2000518583,3.7836392351974483e-32
[ROAD]2000518693,2.7932105647237276e-35
[ROAD]2000518738,4.7141128806459456e-34
[ROAD]2000518752,5.41626065933276e-30
[ROAD]2000519131,1.2369200892021055e-35
[ROAD]2000519153,5.85617845720976e-27
[ROAD]2000519169,1.1606861929101929e-35
[ROAD]2000519213,1.5927775682705692e-26
[ROAD]2000519222,1.669925154115407e-183
[ROAD]2000519462,1.067276402593147e-36
[ROAD]2000519519,1.0353826310498507e-37
"[BUS]20.073929,50.05856",9.215411809930688e-08
[ROAD]2007336839,3.4235264022262637e-13
[ROAD]2007336842,2.307682088027053e-11
[ROAD]2008531672,5.00993313212071e-24
[ROAD]2008531675,5.058646115861424e-25
[ROAD]2008531711,5.292468088852299e-25
[ROAD]2008531748,1.3259448868064102e-25
[ROAD]2008531913,8.164643189940541e-22
[ROAD]2008532164,2.0557718100099694e-23
[ROAD]3414138752,1.5679552432445714e-31
[ROAD]2018994011,2.0284267337695563e-20
[ROAD]2019014197,1.0108370660766567e-15
[ROAD]2019014310,4.018112832300376e-26
[ROAD]2019014368,2.332015374749949e-24
[ROAD]2019014426,1.3450492498937147e-22
[ROAD]2019014617,2.8339801164193745e-17
[ROAD]2019014708,4.695384541885186e-19
[ROAD]2019014807,7.866633807217084e-27
[ROAD]2019015011,3.571597777287456e-21
[ROAD]2019015052,1.4293626805672777e-19
[ROAD]4491056762,1.1172536934198605e-27
[ROAD]2026393967,2.887165946693104e-25
[ROAD]2026394013,9.336405848352555e-26
[ROAD]2026394088,4.4606849402184204e-24
[ROAD]2295077212,1.2044161708755657e-20
[ROAD]2049450295,2.909523279175135e-17
[ROAD]2051965807,4.828793122170045e-24
[ROAD]2051965813,7.698232994268556e-29
[ROAD]2052099746,7.138509893268399e-20
[ROAD]2056153198,1.5486458954875104e-26
[ROAD]2056153222,2.8858077205833583e-30
[ROAD]2056153223,2.107946585483221e-28
[ROAD]2056153245,2.8870146924725225e-30
