,betweenness
[ROAD]206353025,9.6231532119734e-05
[ROAD]206353065,0.00010870944480036149
[ROAD]206353091,0.0
"[BUS]19.911508,50.082728",9.961906743199122e-05
[ROAD]206353309,0.0001712489107322926
[ROAD]287630900,1.5383010596723662e-07
[ROAD]206353403,0.0004290053270986031
"[BUS]19.916792,50.087163",0.0032409227839427387
"[BUS]19.917228,50.087601",0.0038368422857663364
[ROAD]206353845,0.0
"[BUS]20.038221,50.072448",0.0018341903228174655
"[BUS]20.036834,50.072734",0.0
[ROAD]206368892,0.0443403589362506
[ROAD]206369173,0.0006043245169751692
[ROAD]558655097,0.0005145283200544305
[ROAD]206369217,1.1024709126383825e-05
[ROAD]558655088,0.003421080748897219
"[BUS]20.038257,50.074926",0.0018415663127495454
[ROAD]206369248,0.0019571745468553907
"[BUS]20.035201,50.075315",0.0024252946150261907
"[BUS]20.032464,50.075683",0.054187910342462266
[ROAD]206369387,0.044371261113452735
"[BUS]20.049892,50.069113",0.04540390363152112
"[BUS]20.02876,50.072408",0.010371348808395867
[ROAD]206371428,0.002620664086374146
"[BUS]20.016381,50.073325",0.0
"[BUS]20.01268,50.074061",0.0046110207689809635
"[BUS]20.006574,50.074285",0.002139304155551034
[ROAD]206371809,0.004654320343531665
"[BUS]19.985861,50.073373",0.0029604073670476245
"[BUS]20.013083,50.073781",0.0027463465559303566
"[BUS]19.960835,50.065935",0.010556655827024976
"[BUS]19.958649,50.065566",0.005267717563777923
[ROAD]206371912,0.005045004300147145
"[BUS]19.933715,50.064085",0.0008713212132386435
"[BUS]19.938115,50.066232",0.0013261189396364852
"[BUS]19.960245,50.061961",0.001232351962193205
[ROAD]206373016,0.005491899741271639
[ROAD]206373023,0.003103441872556939
"[BUS]19.959517,50.054576",0.012099757695195912
"[BUS]19.972771,50.045321",0.009933357184723993
[ROAD]206375460,0.002713486481507168
[ROAD]206375463,0.0024329848111321615
[ROAD]206376599,0.0005421548978937551
[ROAD]206376681,1.119948631061043e-05
"[BUS]19.961879,50.050957",0.011179740416369998
[ROAD]206377118,0.001558560811926349
[ROAD]11826246293,0.0012961633085331972
[ROAD]322065410,0.050041307900165956
"[BUS]19.944739,50.072157",0.011948628453131743
[ROAD]207425159,4.659677558796498e-05
"[BUS]19.943889,50.070453",0.002063969297783607
"[BUS]19.943453,50.068841",0.00180132828460569
[ROAD]207428888,0.000821959423320442
[ROAD]207433776,0.05433913777395578
[ROAD]257659360,0.06864394726658932
[ROAD]207435063,0.0932513376188856
[ROAD]207435069,0.07164169410982665
"[BUS]19.929498,50.071365",0.05516491872986616
[ROAD]261677476,0.07247287941192795
"[BUS]19.926495,50.069508",0.07219112680822315
"[BUS]19.925312,50.066986",0.05606059484915849
"[BUS]19.924486,50.065176",0.1982358210968488
"[BUS]19.925644,50.058153",0.11338255467309181
"[BUS]19.927504,50.05518",0.227181668181219
"[BUS]19.911634,50.046774",0.024042365172520477
"[BUS]19.921325,50.045406",0.03539710468122739
[ROAD]207452710,0.016360581936855776
"[BUS]19.924614,50.046471",0.03646436486450417
[ROAD]207460520,0.03853309438582221
[ROAD]207466618,0.000436287055178516
[ROAD]207469742,0.0018926601642013188
"[BUS]20.004218,50.067301",0.021385643963903807
[ROAD]207476158,0.014968090870562091
[ROAD]207476161,0.007984791887033204
[ROAD]207476176,0.00700944093719658
[ROAD]207476192,0.0003687955690268311
[ROAD]207476221,0.004148452331145092
[ROAD]1704926060,0.004215464652881594
[ROAD]207511820,0.0037167291206423357
"[BUS]19.959686,50.067974",0.003403296679455015
[ROAD]207511832,0.00028555842598605713
[ROAD]321460548,0.00041535699642023335
[ROAD]207511979,0.0014351288440906296
[ROAD]1850270022,0.0002604094947470986
[ROAD]207513540,7.630889690648782e-05
[ROAD]207513543,0.00022827864048581429
"[BUS]19.96503,50.072704",0.0026533061802641983
[ROAD]207513552,0.0003362667202786188
"[BUS]19.960114,50.073696",0.0005657681464578238
[ROAD]207515015,7.469793566910328e-05
[ROAD]207515017,0.00015107425598373845
[ROAD]207515019,6.222067758467138e-05
[ROAD]207515022,0.002722569003721191
[ROAD]207516230,1.692785761835208e-06
[ROAD]207516235,0.002985752022549069
[ROAD]207516239,0.0007455857213905892
[ROAD]276256656,0.00045520423063531246
[ROAD]207518103,3.2378291623223075e-05
[ROAD]207518606,7.546904998752629e-05
[ROAD]207519162,0.0027541506517743623
"[BUS]19.961656,50.069426",0.0026727791078910634
[ROAD]207519415,3.4955436845321e-07
[ROAD]207519416,4.689919903033461e-05
[ROAD]207519417,7.003262858302458e-05
[ROAD]207520245,0.00014724486823944767
[ROAD]321780571,0.007024509807079033
"[BUS]19.974097,50.08111",0.016494857945267893
"[BUS]19.979021,50.081328",0.000582632508245202
"[BUS]19.981224,50.080041",0.00015319907523467314
"[BUS]19.983032,50.078444",0.001726225153891507
"[BUS]19.983437,50.078009",0.002174974411441956
"[BUS]19.985645,50.073858",8.835281230942904e-05
"[BUS]19.981037,50.072578",0.011461218089672652
"[BUS]19.982654,50.071688",0.016685948321285178
[ROAD]213566130,0.054913357411895056
[ROAD]213566137,0.004751936346605104
[ROAD]213566140,0.004646779395358292
[ROAD]213566163,0.00010868391554873289
[ROAD]213566217,0.05289135820378888
"[BUS]20.027556,50.093261",0.04331158508169824
[ROAD]213566251,0.04055138988865366
[ROAD]213566254,0.04332797093366663
"[BUS]20.065166,50.087784",0.06015789834277138
[ROAD]213585924,0.0022627773629470766
[ROAD]213608239,0.005315681136222311
[ROAD]213614893,0.011386358468743234
"[BUS]20.001254,50.087765",0.08773515759552657
"[BUS]20.003528,50.089639",0.0018935360139110385
"[BUS]20.005976,50.091579",0.0009451086055996599
[ROAD]213614912,0.005056007407599073
[ROAD]213618237,0.00048451770287071173
"[BUS]20.00519,50.074164",0.001984078450494767
[ROAD]213628855,0.002021239221923082
"[BUS]20.013608,50.075771",0.004600718734054527
[ROAD]213623209,0.0012434139833027383
[ROAD]213625100,0.0001274459517071709
[ROAD]213625104,0.00011195558733436798
[ROAD]213626243,0.000760149177550415
"[BUS]20.015099,50.078724",0.0005108049768938279
"[BUS]20.015566,50.079676",6.20871399607679e-05
"[BUS]20.015587,50.081331",0.0007524373797699894
"[BUS]20.017688,50.083436",0.0006655240244946964
"[BUS]20.014546,50.077703",0.0018013950534176417
[ROAD]213642255,0.0010445548596360113
"[BUS]19.875815,50.006308",0.015628681858126707
"[BUS]19.873667,50.007736",0.015158326736705632
"[BUS]19.868821,50.002959",0.027534480082179996
[ROAD]226009431,0.00020029072554651568
[ROAD]226009897,0.0005660581325724768
"[BUS]19.93546,50.065656",0.0012186800660517936
[ROAD]226010060,0.00028523636465781937
[ROAD]226010068,0.0001146695431613474
[ROAD]226010076,4.14869976850703e-05
[ROAD]226834588,0.006170777528156683
"[BUS]19.945116,50.070291",0.012103732403295627
"[BUS]19.94882,50.07094",0.00031021968305928977
"[BUS]19.949516,50.068871",0.0057773521226740085
"[BUS]19.950554,50.06835",0.00567062021298057
[ROAD]269325540,0.00550613328094888
[ROAD]226034635,0.00010860929158243389
[ROAD]1081160843,1.571030869452629e-08
[ROAD]226056138,9.381410836936376e-05
"[BUS]19.936532,50.029196",0.05139583500549932
[ROAD]226138988,0.0003260203260288096
[ROAD]226139031,0.00010868391554873289
[ROAD]274390182,0.0
[ROAD]226214987,0.21216059429458461
"[BUS]19.903849,50.056329",0.003090480867883955
"[BUS]19.903533,50.056366",0.0027066976643625455
[ROAD]247096831,0.03112747088396707
[ROAD]226524326,0.15732491650402963
[ROAD]226528565,0.004604110196943958
[ROAD]226529269,0.1189005138889105
"[BUS]19.934406,50.082909",0.0005093557009167578
"[BUS]19.929511,50.075858",0.0009201606353927521
[ROAD]226826871,0.00010868391554873289
"[BUS]19.915551,50.072967",0.008626475518083956
"[BUS]19.91647,50.07428",0.003706780567661527
"[BUS]19.918473,50.079548",0.0031508673669285404
[ROAD]226830015,0.00020547512741570938
[ROAD]226830352,0.00018727473479310066
"[BUS]19.931836,50.0754",0.001869098628736703
[ROAD]226834098,0.00035774925822599227
[ROAD]226834987,0.0001838106117259576
"[BUS]19.914471,50.071146",0.011003955808598356
[ROAD]1405864429,0.00011043561496817257
"[BUS]19.95144,50.094274",0.0005386632817863966
[ROAD]262053897,0.001396862459687937
"[BUS]19.938769,50.088887",0.001115534034317881
"[BUS]19.932163,50.089715",0.06236890041962706
"[BUS]19.928692,50.089406",0.0004560545510934037
"[BUS]19.924262,50.088409",0.0014486161441048804
[ROAD]227460286,0.0010540399585103315
[ROAD]227461264,0.0002173599759431185
[ROAD]227461842,0.0018958964877923911
[ROAD]227461942,0.0004346649658058062
[ROAD]232660150,0.00011227764866260578
[ROAD]232660157,0.00012429210723674476
[ROAD]232660185,0.0002217981381493222
[ROAD]232660279,0.00032795662157541
[ROAD]232663766,0.0005432624746567192
[ROAD]232672481,0.0009140611080421024
[ROAD]232682711,0.0007695301956296341
[ROAD]232683222,0.0007979344337493376
[ROAD]232696757,0.004434517414586547
"[BUS]19.944384,50.091649",0.0047865108084645825
[ROAD]232697017,0.005480855394259387
[ROAD]12471834528,0.0792632204564935
"[BUS]19.88161,50.091671",0.0013295909178579755
"[BUS]19.882468,50.09495",0.0013391742061616364
[ROAD]232716009,0.0005827621182919319
"[BUS]19.883404,50.102125",9.598998612355565e-05
[ROAD]232716716,0.0010942151454194089
"[BUS]19.879392,50.107132",0.01747397544161403
"[BUS]19.880911,50.091048",0.061834463210879494
"[BUS]19.877643,50.108294",0.0005104672052568955
"[BUS]19.878334,50.108319",0.009109414334930867
"[BUS]19.949066,50.095774",0.00042944914331922345
"[BUS]19.947645,50.098088",0.0024019490963061245
"[BUS]19.94737,50.099462",0.0021707188815743264
[ROAD]235837190,0.0
[ROAD]235837442,0.0011009391575406663
[ROAD]235837510,0.0009708342360869467
[ROAD]235837950,1.4748052286986556e-05
"[BUS]19.946651,50.1014",0.0017224193316102581
"[BUS]19.971644,50.084939",0.017781606851315895
"[BUS]19.890881,50.082431",0.049004949894091314
[ROAD]236136675,0.00012137784497391012
[ROAD]236137518,0.0001105141665116452
"[BUS]19.938817,50.049792",4.814031341720219e-05
"[BUS]19.941273,50.050315",0.00034332915863300394
[ROAD]236138978,9.538906681599001e-05
[ROAD]236139461,0.00037445128015686053
"[BUS]19.924099,50.063921",0.11744565289709955
"[BUS]19.923709,50.062397",0.11718232455791623
"[BUS]19.914483,50.067644",0.07354590527849562
"[BUS]19.917266,50.067603",0.07417062963131063
[ROAD]3883357609,0.05504212302953257
"[BUS]19.908605,50.069376",0.062197591286044775
"[BUS]19.905437,50.069858",0.061940641332191446
[ROAD]236168905,0.00011367586613641862
[ROAD]236169018,0.005499036148996128
[ROAD]236169076,4.994307133989908e-05
[ROAD]236169094,0.005622955136401378
[ROAD]236169525,0.006132817494773534
[ROAD]236169655,6.543343571270201e-05
[ROAD]773235704,0.011672983231931932
[ROAD]236171600,0.005072265613309321
"[BUS]19.934504,50.091627",0.07403348256398459
"[BUS]19.908872,50.089432",0.06574268921177658
"[BUS]19.941279,50.091128",0.07553677058234642
"[BUS]19.963394,50.084989",0.03095588681998263
"[BUS]19.926503,50.091339",0.1077965894585117
[ROAD]535284291,0.0884801594171107
"[BUS]19.976424,50.085398",0.03507862137579478
[ROAD]236180325,0.056201602724846214
"[BUS]19.976798,50.085422",0.06230016781908851
"[BUS]19.908207,50.089434",0.02594426299823418
"[BUS]19.998956,50.087658",0.028588331516985994
"[BUS]19.907811,50.089281",0.07025526329511188
"[BUS]19.913771,50.089345",0.025712241376701892
[ROAD]236184999,0.05214806815125628
"[BUS]19.935786,50.091702",0.036091154698734175
[ROAD]1768224824,0.001878691735983298
[ROAD]236298647,0.053665464026825795
"[BUS]19.913637,50.067971",0.07360251344829917
"[BUS]19.938391,50.050764",0.0026550500245292904
"[BUS]19.926702,50.069145",0.056029614120412886
[ROAD]240971032,6.799814360708343e-05
[ROAD]240971033,0.0001299203253265588
[ROAD]240977613,0.0026688659318337355
[ROAD]262210529,0.0005447549539826992
"[BUS]19.906339,50.075689",0.002495747494366794
[ROAD]240985579,0.0002176191960365782
"[BUS]19.943141,50.108612",0.002171757725736752
"[BUS]19.992613,50.104421",0.006935103684031255
[ROAD]243358036,0.0072082627488801575
"[BUS]20.012728,50.095014",0.008531616674186407
[ROAD]282877146,0.0015703553261787646
[ROAD]9874468555,0.000249442390085928
[ROAD]587632541,0.0006392053298541913
[ROAD]243362263,0.002554729884571806
[ROAD]243362589,4.984095433338466e-05
[ROAD]243365296,0.0011997766371151047
"[BUS]19.978754,50.089697",0.001102883308241614
"[BUS]19.975963,50.089348",0.001819921434945662
[ROAD]243378349,0.010584188143012135
[ROAD]277711654,0.0013588238747613154
"[BUS]19.960438,50.091962",0.04940903474402322
[ROAD]243644963,0.0012887480428293808
[ROAD]277717915,0.00037219292328202237
"[BUS]19.983074,50.090172",0.002436912388305793
[ROAD]243645056,0.001074396591001264
"[BUS]19.979873,50.085771",0.08473694337060557
[ROAD]243778558,0.0003781314199685533
"[BUS]19.947813,50.087778",0.09047536142075736
"[BUS]20.013184,50.098171",0.008081905160228418
[ROAD]10702726103,0.00010868391554873289
[ROAD]243781986,0.0005084602133211698
[ROAD]7641157446,0.0006216313857907768
[ROAD]243783954,0.0001522014706325707
[ROAD]243784004,0.00023097295842692555
[ROAD]243784020,0.0003497703851977597
[ROAD]243784122,0.0010192219868660876
[ROAD]244397086,0.07080210772015096
[ROAD]244397094,0.07061018273398427
[ROAD]244397946,0.08368829597555463
"[BUS]19.825904,50.021207",0.01570789716214168
[ROAD]244398363,0.10031923268715734
"[BUS]19.82872,50.022391",6.208321238359427e-05
"[BUS]19.832886,50.024616",0.016311212291783228
"[BUS]19.847262,50.027509",0.012497079257234828
"[BUS]19.851946,50.028778",0.011581117201840688
[ROAD]244398843,0.007003349265000278
"[BUS]19.886642,50.035562",0.005705277153960696
"[BUS]19.888212,50.036317",0.00606885297292377
[ROAD]244398913,0.006616302244847581
[ROAD]244398919,0.013573714567225063
"[BUS]19.905699,50.044971",0.014761076132894319
"[BUS]19.922058,50.050446",8.993758969898939e-05
"[BUS]19.926598,50.051889",0.0009457802212963509
[ROAD]244398996,0.0012354508205832003
"[BUS]19.852255,50.026323",0.0038832937409988767
"[BUS]19.809048,50.015682",0.012953467652387992
[ROAD]244399322,0.0068715122820129865
[ROAD]5179796775,0.007108887191232932
[ROAD]244399331,0.00010957547556714725
[ROAD]244399347,0.00011163352600613019
"[BUS]19.816764,50.001406",0.006267478405748666
"[BUS]19.814478,50.008375",0.007019864727015398
"[BUS]19.812303,50.009868",0.00955684785412815
"[BUS]19.911317,50.024413",0.0048044716188796
[ROAD]245363385,0.00017486359092442488
[ROAD]245363387,0.0
[ROAD]245366177,1.8145406542177866e-06
"[BUS]19.920477,50.031561",0.008490145386810031
[ROAD]245374349,0.0006452459435472366
"[BUS]19.913101,50.027256",0.004814455520054971
"[BUS]19.909581,50.022137",0.0044197379416821714
"[BUS]19.898831,50.011688",0.0064804512779888385
[ROAD]245369265,0.00010895491837371346
[ROAD]2953371169,0.00037807250631094886
[ROAD]245373676,0.0
[ROAD]245373680,0.0003259810502570733
[ROAD]245373837,0.0
"[BUS]19.922749,50.043224",0.010845588041803184
"[BUS]19.924094,50.040967",0.00980902187413834
[ROAD]245373861,0.000335450438822699
[ROAD]1839568819,0.00017089281040188337
[ROAD]245375188,0.00010868391554873289
[ROAD]245375477,0.004128441325445439
[ROAD]245376148,0.00017076712793232717
[ROAD]245421384,0.0003342446726303941
"[BUS]19.930324,50.048322",0.03829902649658247
[ROAD]245421628,0.0007210206899581106
[ROAD]245421629,7.069638912536831e-08
[ROAD]245421630,9.33113784911389e-05
[ROAD]245421632,8.640669781989461e-08
"[BUS]19.931388,50.046161",0.00045128254482744136
"[BUS]19.932828,50.045347",0.0013692555197344807
[ROAD]245422238,0.0003167001853957819
[ROAD]245422433,0.00045721318635962504
"[BUS]19.925562,50.038381",0.004562171527883921
[ROAD]4948357586,0.0004345785591079863
[ROAD]245423745,0.0006519542453597993
[ROAD]1781427610,0.0018923223925643863
[ROAD]245423860,0.0004346649658058062
[ROAD]245424148,0.0011577005028539898
[ROAD]245424213,0.0010486454312623487
[ROAD]245424450,0.0003259339193309897
[ROAD]245424453,0.00011551397225367819
[ROAD]245424454,0.00035503530239901286
[ROAD]245424554,0.0005306562611217529
[ROAD]245424556,0.0005547578384477433
[ROAD]2019014574,0.0005659108484284655
[ROAD]245424752,0.0007346074885940935
[ROAD]245424975,0.000460294370652339
[ROAD]2974292842,0.041182268754899755
[ROAD]245425131,0.0010827400741104487
[ROAD]245425132,0.0002600930629460839
[ROAD]245425133,0.00032106123617016896
[ROAD]245425134,0.0004150626899705675
[ROAD]245425135,0.00040840125724573185
[ROAD]245425255,0.001897543451820534
[ROAD]245425256,0.003511866957105616
[ROAD]245425459,0.0
[ROAD]1865655320,0.0007598869463143281
[ROAD]245425739,0.0011607174058002297
[ROAD]245425749,0.00022950142617920492
[ROAD]245425832,0.00321693117877761
[ROAD]245425862,0.0008431780280815837
[ROAD]245426033,0.0
[ROAD]245426342,0.0008693633160175881
"[BUS]19.925978,50.022292",0.0014147695932149149
[ROAD]245426531,0.00021832223235065823
[ROAD]245481981,6.028830961524465e-06
[ROAD]245482839,0.0054281669464751195
"[BUS]19.927423,50.051875",0.001131994510252571
"[BUS]19.926956,50.05143",2.742823519205609e-05
[ROAD]245485645,0.00038961958320142564
"[BUS]19.925104,50.047266",0.00029987182639916183
[ROAD]278234323,1.4505851694612613e-06
[ROAD]245485668,3.125762293634687e-05
[ROAD]289259016,0.0009743343619448481
[ROAD]245486185,0.02079554120387436
[ROAD]245486302,1.0146241031881563e-07
[ROAD]245486369,2.592200934596838e-07
[ROAD]245486446,0.00015526498082800335
"[BUS]19.913549,50.047402",0.000848513772591365
[ROAD]245487330,0.00032654662137007626
[ROAD]247093116,0.015451324255697025
[ROAD]247093267,0.016804916597663064
"[BUS]19.839924,50.011743",0.0011282476016289266
"[BUS]19.842993,50.006843",0.000896901523370506
[ROAD]247094367,0.0013054520285488357
[ROAD]247095807,0.03195323220199159
"[BUS]19.849481,49.992286",0.030571616596891688
"[BUS]19.857349,49.997962",0.030950616011415615
[ROAD]247097410,0.012126995442895047
[ROAD]247097469,0.12945763317004197
[ROAD]247097555,0.005652557285559039
[ROAD]247097652,0.16161685893963618
[ROAD]251680825,0.0008278350787721948
[ROAD]251681030,0.00010868391554873289
[ROAD]251681036,0.00012416642476718853
[ROAD]251688755,0.0002792664473538994
"[BUS]19.932009,50.062519",0.00485219953669357
[ROAD]251688941,0.00029489820450495305
[ROAD]251689105,0.0
[ROAD]251689118,0.00032571790258644
[ROAD]251689478,0.0005278938651762989
[ROAD]251689485,4.719769489553061e-05
[ROAD]251689486,3.731198314949994e-08
[ROAD]251689493,0.00019961321848406427
[ROAD]251689494,0.00017356159909136603
[ROAD]251689744,0.00017086138978449433
[ROAD]251689745,0.00020186372020455513
[ROAD]272798884,0.00012425283146500843
[ROAD]251689931,0.0008091044632311458
[ROAD]251690116,0.00029473717384083414
[ROAD]251690144,0.0003878835940906805
[ROAD]272798860,0.0004047486104742545
"[BUS]19.957209,50.065499",0.0009044817473156149
[ROAD]251691060,6.0661429446739645e-05
"[BUS]19.950382,50.064967",0.00035384328272681565
"[BUS]19.952364,50.067927",0.011252756039816396
[ROAD]251691166,0.0008659875634368519
[ROAD]251691332,3.613370999741047e-07
[ROAD]251691389,0.0007827032894699944
[ROAD]251691503,4.659677558796498e-05
[ROAD]251691538,2.94568288022368e-07
[ROAD]251691557,0.0001572994658039445
[ROAD]251691838,0.0
[ROAD]251692040,0.0003260046157201151
[ROAD]251693266,0.0002177959370093916
[ROAD]251693006,0.0004994110755131226
[ROAD]251693048,0.0006520288693260983
[ROAD]251693069,0.0011049020829088604
"[BUS]19.924747,50.057869",0.004365824089819731
"[BUS]19.922885,50.057569",0.004629431286982361
[ROAD]251693128,0.0005425515831882919
